Z' (Ohm), -Z'' (Ohm) 1pg/ml,,Z' (Ohm), -Z'' (Ohm) 10pg/ml,,Z' (Ohm), -Z'' (Ohm) 100pg/ml,,Z' (Ohm), -Z'' (Ohm) 1ng/ml,,Z' (Ohm), -Z'' (Ohm) 10ng/ml,,Z' (Ohm), -Z'' (Ohm) 100ng/ml
192963.9063,855087.875,,,,,722057.3125,746055.3125,,141787.3594,741531.5625,,,,,,
181293.4844,916116.5625,,938909.6875,160771.2188,,541976.5,891446.3125,,143653.6875,859272.75,,,,,,
191617.4063,1096251,,77065.28125,1087448.875,,129564.1094,1092330.25,,138547.1094,1107930.875,,106518.5156,1069530.125,,132484.375,1068113.25
253743.7969,1227616.25,,163574.8281,1204801.75,,174755.3281,1309963.5,,231113.1719,1268121.25,,133277.2344,1270946,,156704.125,1269507.625
358330.5625,1413466,,250910.0469,1395347.875,,291802.7188,1487995.625,,338313.3438,1423226,,208336.7969,1446377.875,,258549.4844,1430907.375
431992.875,1620336.75,,432486.1563,1568206.25,,459989.5938,1677083,,459507.8125,1599934.375,,385033.125,1608934.375,,395351.625,1624996.25
567871.375,1857700,,560923.5,1842988.25,,562455.625,1833055.625,,575662.4375,1830743.75,,563148.875,1822666.875,,558279.75,1820001
724772.125,2133101.5,,694579.75,2126297,,709136.6875,2123196.25,,725148,2122870.25,,711566.6875,2110150,,736123,2113066
932639.5,2460111,,904072.375,2432689,,914160.3125,2415078.5,,941549.4375,2427198.5,,931415.6875,2420048.75,,940644.125,2429538.25
1200365.875,2727180.25,,1201653.125,2697842,,1215416.25,2733747,,1189652.125,2715864,,1209230.625,2693959.5,,1231143.75,2709307
1520776.625,3086544.75,,1571665.5,3007163.5,,1593700.375,3047115,,1522720.375,3017528.75,,1525132.125,3051720,,1596373,3016385.5
1912536,3470529,,1956076.25,3380164.25,,1971433.75,3370803.25,,1917350.625,3425233.25,,1893411.875,3411532,,2023244.875,3316478.25
2464651.75,3860167.75,,2420286.25,3783856.5,,2438081.5,3719039.25,,2419986,3741975.75,,2348717.25,3799880.75,,2488044,3669279.25
3071917,4080369,,2873642.5,4046275.25,,2933049,3913860.25,,2986292,3993970.75,,3005730.75,3949633.25,,2953083.25,3978763
3925488.25,4288396.5,,3726196.25,4287007,,3801085.25,4130678.75,,3805171.75,4177753,,3855502.5,4159582.5,,3746208.5,4269119.5
4685273.5,4433932,,4525845,4362240,,4585645,4188092.75,,4608640,4316444,,4680094,4222122.5,,4534857.5,4362595
5482995.5,4413676.5,,5426524,4268159,,5405422,4140417.5,,5413408.5,4248624,,5396042.5,4224574.5,,5372874.5,4214923
6004033,4139060,,5940750.5,3964676,,5893080,3864372.25,,5925610.5,3992886.75,,5909108,3964332.75,,5873465,3920540.5
6502986,3796434.5,,6424526,3631728.25,,6340561.5,3519018.25,,6389417.5,3646126.25,,6368608,3608032.5,,6358450,3613429.25
6919090.5,3429484.75,,6814708,3282532.5,,6702426.5,3165576.75,,6817274.5,3313256.75,,6781384.5,3271506.25,,6732932.5,3260965.5
7281936.5,3069857,,7129722,2920232.5,,7022329.5,2832897,,7127136,2951280,,7097014,2883887.75,,7082150.5,2907667
7566178.5,2720088.25,,7368951.5,2560576.25,,7281852.5,2499800.25,,7426333.5,2622411,,7365976.5,2545877.5,,7334679,2540040.25
7783067.5,2364927.75,,7577443,2224379,,7487952.5,2196790.25,,7621127,2300249.75,,7545328,2201634,,7573138.5,2244739
7927286.5,2037941.5,,7748398,1947016,,7623739.5,1885813.375,,7787708,2005230.25,,7729250,1953145.875,,7733302.5,1966347.5
8041862.5,1741568.875,,7905946.5,1714949,,7767576,1635794.75,,7883507.5,1734812.75,,7853359.5,1699613.25,,7842163.5,1682559
8119036.5,1505824.125,,8029546,1492665.25,,7896079,1402609.125,,7951101,1462593.25,,7967310,1483624.625,,7938141.5,1454683.75
8236409,1307885.875,,8102701,1287380,,7969290,1205815.25,,8024914,1242284,,8026970,1260224.875,,7975087,1256221.125
8222623,1108542.5,,8165638,1123923.125,,8027364,970989,,8070298,998480.6875,,8101305,1150754.25,,8023649,1030706.188
8277783.5,928794.4375,,8129832.5,962861.25,,7993997,822678.3125,,8114806,857390,,8141317.5,985104.625,,8035395.5,850651.4375
8335031.5,752053.9375,,8034581,802405.3125,,7926709.5,744305.375,,8145587,774138.1875,,8161551.5,774770.9375,,8088572.5,747753.875
